Model,Target,Sources,N_sources,p,Feasible,SNPs_used,Levant_prop,Levant_se,Anatolia_prop,Anatolia_se,Iran_prop,Iran_se,Outgroup_set,Mesopotamia_prop,Mesopotamia_se,ZagrosMeso_prop,ZagrosMeso_se,Significant_props
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_ZagrosMeso_GanjDareh_Shanidar_out2,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.3076588477887884,True,356478,0.4388644691411466,0.06237559767012724,0.411583755350015,0.07063266177364604,,,out2,,,0.1495517755088384,0.02544612503769073,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_GanjDareh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.3072689432315842,True,356449,0.4390702012617962,0.06247282698572884,0.4121025627464804,0.07075839168635163,0.1488272359917233,0.02541226687933888,out2,,,,,True
3way_Levant_JordanBaja_Anatolia_Barcin_ZagrosMeso_IranZagros_IraqMerged_out5,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.3062703182816005,True,544962,0.3810069045029328,0.0254990216051954,0.5023203535591002,0.03290732895483963,,,out5,,,0.1166727419379669,0.0192570199458702,True
3way_Levant_Israel_Anatolia_Barcin_ZagrosMeso_GanjDareh_Shanidar_out3,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.304777714694807,True,766377,0.3313922730143884,0.0949884814873927,0.4885137015085271,0.0762834775164311,,,out3,,,0.1800940254770845,0.03128711943984762,True
3way_Levant_Israel_Anatolia_Catalhoyuk_Iran_Wezmeh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.298312064416739,True,380596,0.4722847882664619,0.07656748083274957,0.4124360480844954,0.08082087103903587,0.1152791636490427,0.02842104029424188,out2,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Meso_Mardin_out2,Israel_C.AG,Levant + Anatolia + Mesopotamia,3,0.2968417794210884,True,106293,0.3165867166133972,0.07104368631074602,0.3823085773448757,0.1174324517851228,,,out2,0.3011047060417271,0.127757075253176,,,True
3way_Levant_Jordan_Anatolia_Catalhoyuk_ZagrosMeso_IranZagros_IraqMerged_out3,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2955501193986509,True,370801,0.578668933504505,0.1416475537670993,0.2699318700125189,0.126900156470976,,,out3,,,0.1513991964829761,0.03154680722869595,True
3way_Levant_Israel_Anatolia_Barcin_Iran_Wezmeh_out4,Israel_C.AG,Levant + Anatolia + Iran,3,0.2942450319353503,True,767421,0.2312869403931386,0.0968281458751481,0.5690286216021913,0.07145598709501794,0.1996844380046701,0.03484092474199797,out4,,,,,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_GanjDareh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2938202304405442,True,547119,0.3789144457257955,0.02647202195678538,0.5039604040761453,0.03396186046698581,0.1171251501980592,0.01922001575756817,out2,,,,,True
3way_Levant_Israel_Anatolia_Catalhoyuk_Iran_Tepe_Wezmeh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2923160046942104,True,381436,0.4853055136068596,0.07792164793901359,0.4064355519038192,0.08312345261911216,0.1082589344893213,0.02701311486818272,out2,,,,,True
